transaction_id,date,customer_id,amount,transaction_type,description
1,2020-10-26,926,6478.39,credit,Expect series shake art again our.
2,2020-1-8,466,1255.95,credit,Each left similar likely coach take.
3,2019-9-2,110,-7969.68,debit,Direction wife job pull determine leader move college.
4,2020-12-2,142,2927.41,credit,Agree reveal buy black already.
5,2020-12-2,944,-4661.88,debit,Child relationship show college whom speech.
6,2021-4-25,900,3649.68,credit,Century front item.
7,2020-6-19,458,504.24,credit,Market cover loss hotel send.
8,2022-9-8,573,8088.01,credit,Trouble reason speak involve.
9,2022-1-30,950,949,credit,Popular three war arm best.
10,2020-8-20,728,1008.62,credit,Old see watch no.
